                                                                                                              SHOPEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eracee,,,,,,,,ye huang su,,,,,,,gentle care,,,,,,,pearl eye,,,,,,,dierdre,,,,,,,maxdales,,,,,,,wanjiankang,,,,,,,vitcore,,,,,,,,
TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,BIAYA,PEMBELIAN, CPP
21,TOKOHERBALCHINA,1, Rp 74.706 ,1, Rp 74.706 ,,21,TOKOHERBALCHINA,1, Rp 3.247 ,2, Rp 1.624 ,,21,TOKOHERBALCHINA,1, Rp 68.160 ,1, Rp 68.160 ,,21,,,,,#DIV/0!,,21,TOKOHERBALCHINA,1, Rp 80.638 ,2, Rp 40.319 ,,21,TOKOHERBALCHINA,1, Rp 302.127 ,6, Rp 50.355 ,,21,TOKOHERBALCHINA,1, Rp 1.374.021 ,17, Rp 80.825 ,,21,TOKOHERBALCHINA,1, Rp 18.043 ,,#DIV/0!,,21, Rp 1.920.942 ,29, Rp 66.239 
22,TOKOHERBALCHINA,1, Rp 79.631 ,,#DIV/0!,,22,TOKOHERBALCHINA,1, Rp 5.495 ,,#DIV/0!,,22,TOKOHERBALCHINA,1, Rp 56.835 ,,#DIV/0!,,22,,,,,#DIV/0!,,22,TOKOHERBALCHINA,1, Rp 88.879 ,,#DIV/0!,,22,TOKOHERBALCHINA,1, Rp 369.704 ,,#DIV/0!,,22,TOKOHERBALCHINA,1, Rp 1.643.911 ,,#DIV/0!,,22,TOKOHERBALCHINA,1, Rp 10.261 ,,#DIV/0!,,22, Rp 2.254.716 ,0,#DIV/0!
23,TOKOHERBALCHINA,1, Rp 110.210 ,6, Rp 18.368 ,,23,TOKOHERBALCHINA,1, Rp 27.826 ,3, Rp 9.275 ,,23,TOKOHERBALCHINA,1, Rp 75.430 ,5, Rp 15.086 ,,23,,,,,#DIV/0!,,23,TOKOHERBALCHINA,1, Rp 63.144 ,4, Rp 15.786 ,,23,TOKOHERBALCHINA,1, Rp 520.915 ,19, Rp 27.417 ,,23,TOKOHERBALCHINA,1, Rp 1.670.432 ,51, Rp 32.754 ,,23,TOKOHERBALCHINA,1, Rp 11.077 ,,#DIV/0!,,23, Rp 2.479.034 ,88, Rp 28.171 
24,TOKOHERBALCHINA,1, Rp 96.095 ,3, Rp 32.032 ,,24,TOKOHERBALCHINA,1, Rp 33.099 ,2, Rp 16.550 ,,24,TOKOHERBALCHINA,1, Rp 63.648 ,4, Rp 15.912 ,,24,,,,,#DIV/0!,,24,TOKOHERBALCHINA,1, Rp 82.407 ,2, Rp 41.204 ,,24,TOKOHERBALCHINA,1, Rp 865.204 ,7, Rp 123.601 ,,24,TOKOHERBALCHINA,1, Rp 1.689.841 ,12, Rp 140.820 ,,24,TOKOHERBALCHINA,1, Rp 23.256 ,,#DIV/0!,,24, Rp 2.853.550 ,30, Rp 95.118 
25,TOKOHERBALCHINA,1, Rp 27.425 ,1, Rp 96.095 ,,25,TOKOHERBALCHINA,1, Rp 3.896 ,1, Rp 33.099 ,,25,TOKOHERBALCHINA,1, Rp 35.651 ,1, Rp 63.648 ,,25,,,,,#DIV/0!,,25,TOKOHERBALCHINA,1, Rp 115.454 ,10, Rp 8.241 ,,25,TOKOHERBALCHINA,1, Rp 1.250.148 ,13, Rp 66.554 ,,25,TOKOHERBALCHINA,1, Rp 1.787.486 ,26, Rp 64.994 ,,25,TOKOHERBALCHINA,1, Rp 8.584 ,,#DIV/0!,,25, Rp 3.228.644 ,52, Rp 62.089 
26,TOKOHERBALCHINA,1, Rp 32.122 ,,#DIV/0!,,26,TOKOHERBALCHINA,1, Rp 10.316 ,,#DIV/0!,,26,TOKOHERBALCHINA,1, Rp 32.806 ,2, Rp 16.403 ,,26,,,,,#DIV/0!,,26,TOKOHERBALCHINA,1, Rp 64.720 ,2, Rp 32.360 ,,26,TOKOHERBALCHINA,1, Rp 395.926 ,10, Rp 39.593 ,,26,TOKOHERBALCHINA,1, Rp 976.791 ,16, Rp 61.049 ,,26,TOKOHERBALCHINA,1, Rp 11.254 ,,#DIV/0!,,26, Rp 1.523.935 ,30, Rp 50.798 
27,TOKOHERBALCHINA,1, Rp 34.933 ,1, Rp 34.933 ,,27,TOKOHERBALCHINA,1, Rp 6.137 ,,#DIV/0!,,27,TOKOHERBALCHINA,1, Rp 50.943 ,2, Rp 25.472 ,,27,,,,,#DIV/0!,,27,TOKOHERBALCHINA,1, Rp 113.441 ,8, Rp 14.180 ,,27,TOKOHERBALCHINA,1, Rp 619.715 ,15, Rp 41.314 ,,27,TOKOHERBALCHINA,1, Rp 974.208 ,17, Rp 57.306 ,,27,TOKOHERBALCHINA,1, Rp 6.980 ,,#DIV/0!,,27, Rp 1.806.357 ,43, Rp 42.008 
28,TOKOHERBALCHINA,1, Rp 36.215 ,2, Rp 18.108 ,,28,TOKOHERBALCHINA,1, Rp 1.172 ,,#DIV/0!,,28,TOKOHERBALCHINA,1, Rp 19.047 ,1, Rp 19.047 ,,28,,,,,#DIV/0!,,28,TOKOHERBALCHINA,1, Rp 149.798 ,3, Rp 49.933 ,,28,TOKOHERBALCHINA,1, Rp 669.019 ,12, Rp 55.752 ,,28,TOKOHERBALCHINA,1, Rp 687.482 ,12, Rp 57.290 ,,28,TOKOHERBALCHINA,1, Rp 12.508 ,,#DIV/0!,,28, Rp 1.575.241 ,30, Rp 52.508 
29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29,,,,,#DIV/0!,,29, Rp -   ,0,#DIV/0!
30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30,,,,,#DIV/0!,,30, Rp -   ,0,#DIV/0!
31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31,,,,,#DIV/0!,,31, Rp -   ,0,#DIV/0!
,,, Rp 1.250.793 ,24, Rp. 52.116,,,,, Rp 1.252.175 ,25, Rp. 50.087,,,,, Rp 2.491.712 ,46, Rp. 54.168,,,,, Rp 69.142 ,0,#DIV/0!,,,,, Rp 871.463 ,41, Rp. 21.255,,,,, Rp 28.204.965 ,328, Rp. 85.991,,,,, Rp 45.425.834 ,643, Rp. 70.647,,,,, Rp 1.210.650 ,5, Rp. 242.130,,, Rp 80.776.734 ,1.138, Rp 70.981 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                                                                               TIK TOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,AKUN IKLAN,JUMLAH AI,BIAYA,PEMBELIAN, CPP,,TANGGAL,BIAYA,PEMBELIAN, CPP
1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,,#DIV/0!,,1,,,,10, Rp -   ,,1,,,,1, Rp -   ,,1,,,,,#DIV/0!,,1, Rp -   ,11, Rp -   
2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,,#DIV/0!,,2,,,,17, Rp -   ,,2,,,,1, Rp -   ,,2,,,,,#DIV/0!,,2, Rp -   ,18, Rp -   
3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,,#DIV/0!,,3,,,,11, Rp -   ,,3,,,,1, Rp -   ,,3,,,,,#DIV/0!,,3, Rp -   ,12, Rp -   
4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,,#DIV/0!,,4,,,,8, Rp -   ,,4,,,,1, Rp -   ,,4,,,,,#DIV/0!,,4, Rp -   ,9, Rp -   
5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5,,,,14, Rp -   ,,5,,,,,#DIV/0!,,5,,,,,#DIV/0!,,5, Rp -   ,14, Rp -   
6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,,#DIV/0!,,6,,,,15, Rp -   ,,6,,,,1, Rp -   ,,6,,,,,#DIV/0!,,6, Rp -   ,16, Rp -   
7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7,,,,5, Rp -   ,,7,,,,,#DIV/0!,,7,,,,,#DIV/0!,,7, Rp -   ,5, Rp -   
8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8,,,,6, Rp -   ,,8,,,,,#DIV/0!,,8,,,,,#DIV/0!,,8, Rp -   ,6, Rp -   
9,,,,,#DIV/0!,,9,,,,,#DIV/0!,,9,,,,,#DIV/0!,,9,,,,,#DIV/0!,,9,,,,,#DIV/0!,,9,,,,13, Rp -   ,,9,,,,,#DIV/0!,,9,,,,,#DIV/0!,,9, Rp -   ,13, Rp -   
10,,,,1, Rp -   ,,10,,,,,#DIV/0!,,10,,,,,#DIV/0!,,10,,,,,#DIV/0!,,10,,,,,#DIV/0!,,10,,,,9, Rp -   ,,10,,,,,#DIV/0!,,10,,,,,#DIV/0!,,10, Rp -   ,10, Rp -   
11,,,,,#DIV/0!,,11,,,,,#DIV/0!,,11,,,,,#DIV/0!,,11,,,,,#DIV/0!,,11,,,,,#DIV/0!,,11,,,,9, Rp -   ,,11,,,,,#DIV/0!,,11,,,,,#DIV/0!,,11, Rp -   ,9, Rp -   
12,,,,,#DIV/0!,,12,,,,,#DIV/0!,,12,,,,,#DIV/0!,,12,,,,,#DIV/0!,,12,,,,,#DIV/0!,,12,,,,5, Rp -   ,,12,,,,,#DIV/0!,,12,,,,,#DIV/0!,,12, Rp -   ,5, Rp -   
13,,,,,#DIV/0!,,13,,,,,#DIV/0!,,13,,,,,#DIV/0!,,13,,,,,#DIV/0!,,13,,,,,#DIV/0!,,13,,,,9, Rp -   ,,13,,,,1, Rp -   ,,13,,,,,#DIV/0!,,13, Rp -   ,10, Rp -   
14,,,,,#DIV/0!,,14,,,,,#DIV/0!,,14,,,,,#DIV/0!,,14,,,,,#DIV/0!,,14,,,,,#DIV/0!,,14,,,,7, Rp -   ,,14,,,,,#DIV/0!,,14,,,,,#DIV/0!,,14, Rp -   ,7, Rp -   
15,,,,2, Rp -   ,,15,,,,,#DIV/0!,,15,,,,,#DIV/0!,,15,,,,,#DIV/0!,,15,,,,,#DIV/0!,,15,,,,2, Rp -   ,,15,,,,1, Rp -   ,,15,,,,,#DIV/0!,,15, Rp -   ,5, Rp -   
16,,,,,#DIV/0!,,16,,,,,#DIV/0!,,16,,,,2, Rp -   ,,16,,,,,#DIV/0!,,16,,,,,#DIV/0!,,16,,,,8, Rp -   ,,16,,,,,#DIV/0!,,16,,,,,#DIV/0!,,16, Rp -   ,10, Rp -   
17,,,,,#DIV/0!,,17,,,,,#DIV/0!,,17,,,,,#DIV/0!,,17,,,,,#DIV/0!,,17,,,,,#DIV/0!,,17,,,,5, Rp -   ,,17,,,,,#DIV/0!,,17,,,,,#DIV/0!,,17, Rp -   ,5, Rp -   
18,,,,,#DIV/0!,,18,,,,,#DIV/0!,,18,,,,,#DIV/0!,,18,,,,,#DIV/0!,,18,,,,,#DIV/0!,,18,,,,9, Rp -   ,,18,,,,,#DIV/0!,,18,,,,,#DIV/0!,,18, Rp -   ,9, Rp -   
